timestamp_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
2209368,0.7941,0.0056,-0.4821,-4.8059,-66.2825,5.8387,left_tilt
2209388,0.7756,0.0115,-0.5275,-3.2792,-68.7634,4.5104,left_tilt
2209408,0.7651,-0.0019,-0.5527,-2.3708,-64.5191,4.1516,left_tilt
2209428,0.7773,0.0010,-0.5651,-2.1723,-67.9161,4.0600,left_tilt
2209448,0.7446,0.0085,-0.5857,-1.7754,-71.4199,4.0142,left_tilt
2209468,0.7011,0.0093,-0.6037,-1.7067,-68.4504,4.3654,left_tilt
2209488,0.6840,0.0024,-0.5988,-1.3632,-65.0688,3.9990,left_tilt
2209508,0.6813,0.0064,-0.6108,0.0338,-69.9695,2.2280,left_tilt
2209528,0.6564,0.0183,-0.6250,0.5987,-75.0917,1.8616,left_tilt
2209548,0.6342,-0.0041,-0.6796,0.3468,-73.2367,1.6173,left_tilt
2209568,0.6037,-0.0078,-0.6818,-0.6303,-58.6107,2.7623,left_tilt
2209588,0.6171,0.0054,-0.6850,-0.1800,-52.1909,2.3959,left_tilt
2209608,0.5876,0.0046,-0.6887,0.4384,-56.6031,1.4799,left_tilt
2209628,0.5791,0.0056,-0.7063,0.8658,-60.5420,1.5181,left_tilt
2209648,0.5358,0.0024,-0.7385,0.2704,-60.1985,1.1364,left_tilt
2209668,0.5295,0.0010,-0.7500,0.0872,-51.6184,1.2891,left_tilt
2209688,0.5227,0.0039,-0.7446,0.0185,-47.3817,1.3349,left_tilt
2209708,0.5173,0.0046,-0.7395,0.3468,-48.9161,1.2051,left_tilt
2209728,0.4885,0.0012,-0.7524,0.2933,-51.7787,1.2433,left_tilt
2209748,0.4797,0.0046,-0.7653,0.5758,-52.0993,1.5410,left_tilt
2209768,0.4575,0.0083,-0.8005,0.4613,-51.9008,1.2051,left_tilt
2209788,0.4526,0.0010,-0.7834,0.2857,-47.8398,1.1975,left_tilt
2209808,0.4360,-0.0015,-0.7929,0.4307,-47.5115,1.2738,left_tilt
2209828,0.4165,-0.0019,-0.8068,0.5529,-43.8016,1.3425,left_tilt
2209848,0.4077,-0.0032,-0.8003,0.4842,-43.4581,1.3959,left_tilt
2209868,0.3964,0.0061,-0.8007,0.7132,-47.3283,1.3425,left_tilt
2209888,0.3735,0.0054,-0.8003,0.5376,-53.0230,1.2814,left_tilt
2209908,0.3508,0.0015,-0.8247,0.5223,-53.7253,1.3959,left_tilt
2209928,0.3371,0.0064,-0.8349,0.5452,-50.0001,1.3730,left_tilt
2209948,0.3322,0.0015,-0.8383,0.6292,-49.0764,1.5181,left_tilt
2209968,0.3024,-0.0041,-0.8488,0.9346,-51.3512,1.4112,left_tilt
2209988,0.2797,-0.0046,-0.8540,0.6597,-49.9848,1.3578,left_tilt
2210008,0.2551,-0.0032,-0.8608,0.3544,-45.2367,1.2585,left_tilt
2210028,0.2565,0.0027,-0.8598,0.3010,-41.9848,1.0371,left_tilt
2210048,0.2580,-0.0005,-0.8642,0.6063,-42.9772,1.2585,left_tilt
2210068,0.2292,-0.0012,-0.8628,0.7819,-46.5039,1.1898,left_tilt
2210088,0.2097,0.0002,-0.8654,0.7437,-49.7329,1.2662,left_tilt
2210108,0.1843,-0.0037,-0.8779,0.4155,-45.7329,1.3654,left_tilt
2210128,0.1811,-0.0015,-0.8772,0.2781,-45.9924,1.3272,left_tilt
2210148,0.1652,0.0015,-0.8659,0.4613,-48.1451,1.3807,left_tilt
2210168,0.1416,0.0005,-0.8911,0.3391,-50.5039,1.3120,left_tilt
2210188,0.1142,0.0039,-0.8913,0.1636,-46.3741,1.3807,left_tilt
2210208,0.1137,0.0002,-0.9104,0.1407,-39.9161,1.2814,left_tilt
2210228,0.1054,0.0010,-0.8889,0.2094,-37.0459,1.2127,left_tilt
2210248,0.0905,0.0017,-0.8806,0.4155,-40.1680,0.8768,left_tilt
2210268,0.0820,-0.0046,-0.8925,0.3773,-42.8016,1.0600,left_tilt
2210288,0.0517,-0.0056,-0.9045,0.3468,-44.3207,1.1516,left_tilt
2210308,0.0437,-0.0015,-0.8867,0.2399,-42.1298,1.1975,left_tilt
2210328,0.0187,0.0007,-0.8620,0.1865,-40.0230,0.9913,left_tilt
2210348,0.0227,-0.0005,-0.9023,0.3239,-40.3436,1.0142,left_tilt
2210368,-0.0040,-0.0056,-0.9013,0.3468,-40.2596,0.9455,left_tilt
2210388,-0.0401,-0.0076,-0.9050,-0.0883,-29.3665,0.7165,left_tilt
2210408,-0.0298,-0.0024,-0.9104,0.0109,-19.5420,0.5028,left_tilt
2210428,-0.0254,-0.0017,-0.8789,0.0949,-20.2520,0.5944,left_tilt
2210448,-0.0398,0.0000,-0.8874,0.0185,-25.4657,0.4952,left_tilt
2210468,-0.0494,-0.0005,-0.8955,-0.0044,-26.5268,0.6249,left_tilt
2210488,-0.0555,-0.0081,-0.9016,0.1788,-19.3817,0.5333,left_tilt
2210508,-0.0674,-0.0037,-0.8969,-0.0273,-19.9008,0.4799,left_tilt
2210528,-0.0611,-0.0005,-0.8764,0.2475,-22.7558,0.6173,left_tilt
2210548,-0.0823,-0.0005,-0.8886,0.3391,-31.1222,0.7165,left_tilt
2210568,-0.1009,-0.0022,-0.8925,0.3926,-26.8550,0.6249,left_tilt
2210588,-0.1009,-0.0037,-0.9030,0.3315,-21.0306,0.5486,left_tilt
2210608,-0.1087,0.0017,-0.8762,0.3010,-21.3359,0.2509,left_tilt
2210628,-0.1099,0.0024,-0.8930,0.9422,-23.8627,0.6173,left_tilt
2210648,-0.1312,-0.0068,-0.9050,0.8582,-20.9314,0.4570,left_tilt
2210668,-0.1053,-0.0015,-0.9294,0.4078,-12.5191,0.5257,left_tilt
2210688,-0.1395,-0.0029,-0.8559,0.4536,-13.3665,0.1898,left_tilt
2210708,-0.1146,-0.0002,-0.8740,1.0796,-21.4123,0.3730,left_tilt
2210728,-0.1739,0.0020,-0.8725,1.2552,-24.0230,0.5410,left_tilt
2210748,-0.1692,-0.0007,-0.8803,0.1712,-10.5726,0.3883,left_tilt
2210768,-0.1817,-0.0015,-0.8896,-0.0883,2.5648,-0.0926,left_tilt
2210788,-0.1605,-0.0063,-0.8623,-0.2716,9.8625,-0.5354,left_tilt
2210808,-0.1651,-0.0017,-0.9033,-0.6609,15.6488,-0.2835,left_tilt
2210828,-0.1490,-0.0134,-0.8899,-1.3326,28.0228,-0.5430,left_tilt
2210848,-0.1365,-0.0076,-0.8952,-1.5464,34.9999,-0.7567,left_tilt
2210868,-0.1175,-0.0002,-0.8967,-1.9509,40.8778,-0.9400,left_tilt
2210888,-0.1006,0.0032,-0.8935,-0.6227,39.5267,-0.7415,left_tilt
2210908,-0.0872,-0.0015,-0.8916,-0.1952,36.3282,-0.7796,left_tilt
