acc_x_g_mean,acc_x_g_std,acc_x_g_var,acc_x_g_min,acc_x_g_max,acc_x_g_rms,acc_x_g_energy,acc_y_g_mean,acc_y_g_std,acc_y_g_var,acc_y_g_min,acc_y_g_max,acc_y_g_rms,acc_y_g_energy,acc_z_g_mean,acc_z_g_std,acc_z_g_var,acc_z_g_min,acc_z_g_max,acc_z_g_rms,acc_z_g_energy,gyro_x_dps_mean,gyro_x_dps_std,gyro_x_dps_var,gyro_x_dps_min,gyro_x_dps_max,gyro_x_dps_rms,gyro_x_dps_energy,gyro_y_dps_mean,gyro_y_dps_std,gyro_y_dps_var,gyro_y_dps_min,gyro_y_dps_max,gyro_y_dps_rms,gyro_y_dps_energy,gyro_z_dps_mean,gyro_z_dps_std,gyro_z_dps_var,gyro_z_dps_min,gyro_z_dps_max,gyro_z_dps_rms,gyro_z_dps_energy,acc_mag_mean,acc_mag_std,acc_mag_max,gyro_mag_mean,gyro_mag_std,gyro_mag_max,label,label_id,source_file,window_start,window_end
0.99965394,0.0030796926,9.484506e-06,0.9912,1.0048,0.99965876,49.96588,0.0010020001,0.0025366505,6.4345954e-06,-0.0059,0.0066,0.0027273798,0.00037193001,0.00033800007,0.00542457,2.9425957e-05,-0.0092,0.0132,0.0054350896,0.0014770098,-0.009251999,0.0672181,0.004518273,-0.1494,0.1559,0.06785184,0.23019361,0.0052780006,0.09008655,0.008115586,-0.252,0.1984,0.09024102,0.40717214,-0.022104,0.0817687,0.00668612,-0.2224,0.1364,0.084703654,0.3587354,0.9996724868352156,0.0030825419211493775,1.0048202625345488,0.13032267175867598,0.05420354809124949,0.32053146491413287,idle,5,idle_20260609_090656.csv,1040,1090
0.999116,0.0033316915,1.1100168e-05,0.9912,1.0048,0.99912155,49.912193,0.001122,0.0023972725,5.7469156e-06,-0.0041,0.0064,0.0026468472,0.00035029,0.00015200001,0.005227246,2.7324098e-05,-0.0092,0.0132,0.005229455,0.00136736,-0.004061999,0.0695082,0.0048313905,-0.1494,0.1559,0.06962679,0.24239454,0.015198001,0.083970375,0.0070510237,-0.1756,0.1984,0.08533464,0.3641001,-0.023632,0.076789975,0.0058967,-0.2224,0.1364,0.08034408,0.3227586,0.9991331862779441,0.003333268378448352,1.0048202625345488,0.12689503160418736,0.04982685374546842,0.2502863160462433,idle,5,idle_20260609_090656.csv,1050,1100
0.999372,0.003502805,1.2269644e-05,0.9921,1.0068,0.99937814,49.93783,0.0013620001,0.0023830978,5.6791555e-06,-0.0041,0.0064,0.0027448495,0.00037670997,0.00030400004,0.005140893,2.6428783e-05,-0.0092,0.0132,0.005149874,0.00132606,-0.011542001,0.07867262,0.006189381,-0.1876,0.1941,0.07951477,0.31612992,0.014738001,0.086059585,0.0074062524,-0.1756,0.1984,0.08731244,0.38117307,-0.014474001,0.081951484,0.0067160456,-0.2224,0.1898,0.08321984,0.34627712,0.9993890406837947,0.0035021080971788833,1.0068031038887395,0.13471858899814182,0.05217762334899653,0.2502863160462433,idle,5,idle_20260609_090656.csv,1060,1110
0.999464,0.0033639167,1.1315936e-05,0.9921,1.0068,0.99946964,49.946976,0.001054,0.002541827,6.4608844e-06,-0.0041,0.0064,0.0027516903,0.00037859,0.00038199994,0.004624703,2.1387876e-05,-0.0092,0.0132,0.0046404526,0.00107669,-0.010474,0.079581894,0.006333278,-0.1876,0.1941,0.0802682,0.32214916,0.019927999,0.083018355,0.0068920474,-0.1756,0.1984,0.08537666,0.36445865,-0.011416001,0.08091103,0.0065465947,-0.1842,0.1898,0.081712425,0.333846,0.9994785648265195,0.003362625807373478,1.0068031038887395,0.1331423913662028,0.05178975401842421,0.24641156628697444,idle,5,idle_20260609_090656.csv,1070,1120
0.99944,0.00341532,1.16644105e-05,0.9921,1.0068,0.99944586,49.944603,0.001104,0.0026503555,7.024384e-06,-0.0041,0.0064,0.0028710973,0.00041215998,0.000704,0.0048071183,2.3108385e-05,-0.0102,0.0132,0.0048583946,0.0011801999,-0.017652001,0.07600221,0.0057763364,-0.1876,0.1941,0.078025185,0.30439645,0.004512,0.08880716,0.0078867115,-0.2367,0.1984,0.08892171,0.39535353,0.00033799987,0.07902539,0.0062450115,-0.1842,0.1898,0.07902611,0.31225628,0.9994559317250933,0.0034155145330226726,1.0068031038887395,0.13040579418908657,0.05687225195043359,0.27925060429657084,idle,5,idle_20260609_090656.csv,1080,1130
0.999068,0.0036998133,1.3688617e-05,0.9921,1.0104,0.9990749,49.907528,0.0004100001,0.003424573,1.17277e-05,-0.0095,0.0066,0.0034490288,0.00059479,-2.9999996e-05,0.0049123215,2.41309e-05,-0.0139,0.0086,0.0049124127,0.00120659,-0.016278,0.07966259,0.006346128,-0.1876,0.1941,0.081308685,0.33055514,0.006494,0.09993381,0.009986767,-0.2367,0.1984,0.100144595,0.50144696,-0.0022600004,0.07700684,0.0059300535,-0.1842,0.1898,0.07704,0.2967581,0.9990860263641106,0.0037009085332886087,1.01041551848732,0.13981538477331884,0.0550169117698258,0.27925060429657084,idle,5,idle_20260609_090656.csv,1090,1140
0.999416,0.003548998,1.2595387e-05,0.9938,1.0104,0.9994223,49.94225,0.0005940001,0.0033875306,1.1475363e-05,-0.0095,0.0066,0.0034392148,0.0005914099,0.00074999995,0.004874351,2.3759298e-05,-0.0139,0.0086,0.004931714,0.00121609,-0.017042,0.0827839,0.0068531744,-0.1876,0.1941,0.08451984,0.3571802,0.015502001,0.09601992,0.009219826,-0.2367,0.1679,0.09726324,0.4730069,0.0053779986,0.07662513,0.005871411,-0.1842,0.1898,0.07681363,0.2950167,0.9994340826368053,0.003549769559702658,1.01041551848732,0.14012630682389518,0.05356019357597193,0.27925060429657084,idle,5,idle_20260609_090656.csv,1100,1150
0.99932593,0.0032096663,1.0301957e-05,0.9924,1.0104,0.9993311,49.933136,0.000764,0.0036938738,1.3644703e-05,-0.0095,0.0083,0.003772055,0.00071141997,0.000234,0.0052655335,2.7725844e-05,-0.0139,0.0086,0.0052707307,0.0013890301,-0.006660001,0.080265954,0.006442623,-0.1647,0.1636,0.08054179,0.32434896,0.010613999,0.093713,0.008782127,-0.2367,0.1679,0.09431216,0.4447392,0.00721,0.07474082,0.00558619,-0.1842,0.144,0.075087786,0.28190875,0.9993470155854131,0.0032105514367631806,1.01041551848732,0.13596900331610967,0.050322632455225995,0.27925060429657084,idle,5,idle_20260609_090656.csv,1110,1160
0.99931604,0.0031827933,1.0130173e-05,0.9924,1.0104,0.9993211,49.932133,0.00085000007,0.0035869346,1.28661e-05,-0.0095,0.0083,0.0036862718,0.00067943,4.6000045e-05,0.005259666,2.7664086e-05,-0.0139,0.0086,0.0052598664,0.0013833098,-0.0042199995,0.078134455,0.0061049927,-0.1647,0.1636,0.07824833,0.30614004,0.009239997,0.09556318,0.009132322,-0.2367,0.1602,0.096008845,0.46088493,0.009653999,0.06670272,0.004449253,-0.1613,0.144,0.06739771,0.22712262,0.9993366380381401,0.0031838144775136585,1.01041551848732,0.13189190341433707,0.04987462294336856,0.27925060429657084,idle,5,idle_20260609_090656.csv,1120,1170
0.99947387,0.0031682777,1.0037983e-05,0.9924,1.0104,0.999479,49.947914,0.00056599994,0.0037835755,1.4315444e-05,-0.0095,0.0083,0.0038256764,0.00073179003,-0.000124,0.005041966,2.5421425e-05,-0.0139,0.0083,0.005043491,0.00127184,0.0017380008,0.07945488,0.006313077,-0.1647,0.1788,0.07947388,0.3158049,0.023128,0.09591517,0.00919972,-0.2062,0.2289,0.098664194,0.48673114,-0.0036260006,0.076423615,0.0058405693,-0.2224,0.144,0.076509595,0.2926859,0.9994940485745595,0.0031676590782578505,1.01041551848732,0.1363832179472172,0.05748092781403107,0.36125294462467705,idle,5,idle_20260609_090656.csv,1130,1180
